iter	Passed	Remaining
0	1	301
1	2	232
2	3	207
3	3	194
4	4	186
5	5	177
6	6	175
7	7	172
8	7	169
9	8	168
10	9	168
11	10	167
12	11	169
13	12	169
14	13	167
15	14	167
16	15	166
17	16	167
18	17	167
19	18	166
20	19	166
21	20	164
22	21	163
23	22	163
24	24	169
25	25	169
26	26	170
27	27	170
28	28	169
29	30	170
30	31	169
31	32	169
32	34	172
33	34	170
34	36	170
35	37	169
36	38	168
37	39	166
38	39	164
39	40	162
40	41	160
41	42	158
42	43	157
43	43	155
44	44	154
45	45	153
46	46	152
47	47	151
48	48	149
49	49	148
50	50	146
51	51	145
52	51	144
53	52	142
54	53	141
55	54	140
56	55	138
57	56	137
58	57	136
59	58	136
60	59	134
61	60	133
62	61	132
63	61	131
64	62	130
65	63	128
66	64	127
67	65	126
68	66	125
69	66	124
70	67	122
71	68	121
72	69	120
73	70	119
74	71	118
75	72	117
76	73	116
77	74	115
78	75	114
79	75	113
80	76	113
81	77	112
82	78	110
83	79	109
84	80	108
85	81	107
86	82	106
87	83	105
88	83	104
89	84	103
90	85	102
91	86	101
92	87	100
93	88	99
94	88	98
95	89	97
96	90	96
97	91	95
98	92	94
99	93	93
100	93	91
101	94	91
102	95	90
103	96	89
104	97	88
105	98	87
106	99	86
107	99	85
108	100	84
109	101	82
110	102	82
111	103	81
112	103	79
113	104	78
114	105	77
115	106	77
116	107	76
117	108	75
118	109	74
119	109	73
120	110	72
121	111	71
122	112	70
123	113	69
124	114	68
125	114	67
126	115	66
127	116	65
128	117	64
129	118	63
130	119	62
131	119	61
132	120	60
133	121	59
134	122	58
135	123	57
136	123	56
137	124	56
138	125	55
139	126	54
140	127	53
141	128	52
142	128	51
143	129	50
144	130	49
145	131	48
146	132	47
147	133	46
148	133	45
149	134	44
150	135	43
151	136	43
152	137	42
153	137	41
154	138	40
155	139	39
156	140	38
157	140	37
158	141	36
159	142	35
160	143	34
161	144	33
162	146	33
163	146	32
164	147	31
165	148	30
166	149	29
167	150	28
168	151	27
169	152	26
170	153	25
171	154	25
172	154	24
173	155	23
174	156	22
175	157	21
176	158	20
177	158	19
178	159	18
179	160	17
180	160	16
181	161	16
182	162	15
183	163	14
184	164	13
185	165	12
186	166	11
187	166	10
188	167	9
189	168	8
190	169	7
191	169	7
192	171	6
193	172	5
194	173	4
195	173	3
196	174	2
197	175	1
198	176	0
199	177	0
